artist_name;symbol;token_count;index_symbol_artist
Katy Perry;hell;19;21
Katy Perry;darkness;18;22
Katy Perry;war/weapons;18;23
Katy Perry;death;15;24
Katy Perry;bitch;10;25
Katy Perry;money;10;26
Katy Perry;hate;8;27
Katy Perry;killing;6;28
Katy Perry;weed/drugs/booze;4;29
Lady Gaga;love/tender;1058;1
Lady Gaga;part of body;518;2
Lady Gaga;people;413;3
Lady Gaga;sentiment;296;4
Lady Gaga;life;177;5
Lady Gaga;suffering;115;6
Lady Gaga;freedom;90;7
Lady Gaga;bad words;80;8
Lady Gaga;night;78;9
Lady Gaga;death;76;10
Lady Gaga;day;64;11
Lady Gaga;money;58;12
Lady Gaga;time references;58;13
Lady Gaga;insane;51;14
Lady Gaga;God/Christ;50;15
Lady Gaga;nature;46;16
Lady Gaga;dream;45;17
Lady Gaga;fire;40;18
Lady Gaga;authority/power;38;19
Lady Gaga;bitch;36;20
Lady Gaga;sex;35;21
Lady Gaga;city;34;22
Lady Gaga;war/weapons;32;23
Lady Gaga;darkness;23;24
Lady Gaga;the hood;23;25
Lady Gaga;crime;20;26
Lady Gaga;hell;18;27
Lady Gaga;hate;10;28
Lady Gaga;killing;7;29
Lady Gaga;cities;6;30
Madonna;love/tender;1554;1
Madonna;people;702;2
Madonna;sentiment;644;3
Madonna;part of body;599;4
Madonna;life;434;5
Madonna;suffering;240;6
Madonna;day;143;7
Madonna;nature;130;8
Madonna;night;126;9
Madonna;death;119;10
Madonna;freedom;115;11
Madonna;time references;110;12
Madonna;fire;102;13
Madonna;dream;100;14
Madonna;bitch;95;15
Madonna;God/Christ;89;16
Madonna;insane;76;17
Madonna;crime;58;18
Madonna;hell;58;19
Madonna;authority/power;54;20
Madonna;darkness;45;21
Madonna;war/weapons;42;22
Madonna;sex;34;23
Madonna;bad words;32;24
Madonna;city;29;25
Madonna;killing;18;26
Madonna;money;18;27
Madonna;weed/drugs/booze;16;28
Madonna;hate;14;29
Madonna;cities;4;30
Madonna;destruction;4;31
Madonna;the hood;4;32
Manowar;death;371;1
Manowar;people;258;2
Manowar;authority/power;199;3
Manowar;part of body;199;4
Manowar;life;192;5
Manowar;fire;177;6
Manowar;war/weapons;174;7
Manowar;nature;140;8
Manowar;sentiment;133;9
Manowar;killing;115;10
Manowar;day;95;11
Manowar;night;87;12
Manowar;hell;77;13
Manowar;suffering;77;14
Manowar;freedom;57;15
Manowar;God/Christ;56;16
Manowar;time references;36;17
Manowar;darkness;30;18
Manowar;destruction;29;19
Manowar;love/tender;21;20
Manowar;dream;18;21
Manowar;hate;13;22
Manowar;crime;10;23
Manowar;city;9;24
Manowar;money;4;25
Mariah Carey;love/tender;8;1
Megadeth;part of body;413;1
Megadeth;death;330;2
Megadeth;life;300;3
Megadeth;people;243;4
Megadeth;sentiment;189;5
Megadeth;suffering;172;6
Megadeth;war/weapons;133;7
Megadeth;day;128;8
Megadeth;hell;118;9
Megadeth;time references;109;10
Megadeth;love/tender;105;11
Megadeth;fire;100;12
Megadeth;authority/power;99;13
Megadeth;insane;82;14
Megadeth;killing;77;15
Megadeth;night;61;16
Megadeth;dream;59;17
Megadeth;God/Christ;58;18
Megadeth;nature;58;19
Megadeth;darkness;53;20
Megadeth;freedom;41;21
Megadeth;city;33;22
Megadeth;hate;32;23
Megadeth;crime;31;24
Megadeth;destruction;29;25
Megadeth;money;28;26
Megadeth;bad words;22;27
Megadeth;bitch;9;28
Megadeth;sex;8;29
Megadeth;weed/drugs/booze;4;30
Metallica;part of body;347;1
Metallica;people;342;2
Metallica;suffering;288;3
Metallica;sentiment;285;4
Metallica;death;279;5
Metallica;life;279;6
Metallica;love/tender;196;7
Metallica;fire;157;8
Metallica;day;115;9
Metallica;hell;112;10
Metallica;killing;111;11
Metallica;freedom;95;12
Metallica;nature;93;13
Metallica;war/weapons;73;14
Metallica;time references;68;15
Metallica;night;66;16
Metallica;bad words;62;17
Metallica;insane;57;18
Metallica;authority/power;55;19
Metallica;darkness;53;20
Metallica;dream;47;21
Metallica;hate;44;22
Metallica;God/Christ;38;23
Metallica;crime;35;24
Metallica;city;27;25
Metallica;money;22;26
Metallica;destruction;21;27
Metallica;bitch;8;28
Metallica;weed/drugs/booze;8;29
Michael Jackson;love/tender;1370;1
Michael Jackson;people;885;2
Michael Jackson;sentiment;525;3
Michael Jackson;part of body;360;4
Michael Jackson;life;278;5
Michael Jackson;suffering;215;6
Michael Jackson;day;213;7
Michael Jackson;time references;185;8
Michael Jackson;night;174;9
Michael Jackson;nature;103;10
Michael Jackson;death;78;11
Michael Jackson;dream;61;12
Michael Jackson;God/Christ;57;13
Michael Jackson;money;49;14
Michael Jackson;city;48;15
Michael Jackson;darkness;41;16
Michael Jackson;insane;37;17
Michael Jackson;fire;34;18
Michael Jackson;freedom;32;19
Michael Jackson;hell;32;20
Michael Jackson;crime;30;21
Michael Jackson;killing;30;22
Michael Jackson;the hood;28;23
Michael Jackson;hate;26;24
Michael Jackson;war/weapons;21;25
Michael Jackson;authority/power;16;26
Michael Jackson;bad words;8;27
Michael Jackson;bitch;4;28
Pantera;part of body;46;1
Pantera;people;37;2
Pantera;life;36;3
Pantera;love/tender;21;4
Pantera;death;19;5
Pantera;time references;18;6
Pantera;fire;16;7
Pantera;sentiment;14;8
Pantera;bad words;13;9
Pantera;hell;12;10
Pantera;suffering;11;11
Pantera;day;9;12
Pantera;war/weapons;9;13
Pantera;authority/power;8;14
Pantera;city;5;15
Pantera;darkness;5;16
Pantera;destruction;5;17
Pantera;freedom;4;18
Pantera;God/Christ;3;19
Pantera;nature;3;20
Queen;love/tender;678;1
Queen;people;536;2
Queen;sentiment;368;3
Queen;life;325;4
Queen;part of body;291;5
Queen;day;189;6
Queen;time references;128;7
Queen;suffering;112;8
Queen;death;98;9
Queen;God/Christ;96;10
Queen;night;96;11
Queen;nature;88;12
Queen;authority/power;87;13
Queen;insane;85;14
Queen;dream;66;15
Queen;freedom;56;16
Queen;fire;41;17
Queen;war/weapons;36;18
Queen;city;27;19
Queen;money;22;20
Queen;hell;17;21
Queen;killing;17;22
Queen;darkness;16;23
Queen;crime;14;24
Queen;destruction;10;25
Queen;sex;10;26
Queen;hate;6;27
Queen;bitch;4;28
Queen;cities;4;29
Red Hot Chilli Peppers;love/tender;716;1
Red Hot Chilli Peppers;people;674;2
Red Hot Chilli Peppers;part of body;303;3
Red Hot Chilli Peppers;sentiment;286;4
Red Hot Chilli Peppers;life;207;5
Red Hot Chilli Peppers;nature;167;6
Red Hot Chilli Peppers;day;142;7
Red Hot Chilli Peppers;time references;124;8
Red Hot Chilli Peppers;suffering;106;9
Red Hot Chilli Peppers;death;101;10
Red Hot Chilli Peppers;authority/power;92;11
Red Hot Chilli Peppers;city;90;12
Red Hot Chilli Peppers;night;89;13
Red Hot Chilli Peppers;insane;72;14
Red Hot Chilli Peppers;God/Christ;69;15
