artist_name;song_title
Frank Sinatra;Winchester Cathedral
Frank Sinatra;Winners
Frank Sinatra;Winter Wonderland
Frank Sinatra;Witchcraft
Frank Sinatra;With Every Breath I Take
Frank Sinatra;Without A Song
Frank Sinatra;Wives And Lovers
Frank Sinatra;World War None!
Frank Sinatra;Wrap Your Troubles In Dreams
Frank Sinatra;Yellow Days
Frank Sinatra;Yes Indeed
Frank Sinatra;Yes Sir, That's My Baby
Frank Sinatra;Yesterday
Frank Sinatra;Yesterdays
Frank Sinatra;You And Me (We Wanted It All)
Frank Sinatra;You And The Night And The Music
Frank Sinatra;You Are The Sunshine Of My Life
Frank Sinatra;You Are There
Frank Sinatra;You Brought A New Kind Of Love To Me
Frank Sinatra;You Do Something To Me
Frank Sinatra;You Forgot All The Words (While I Still Remember The Tune)
Frank Sinatra;You Go To My Head
Frank Sinatra;You Make Me Feel So Young
Frank Sinatra;You Never Had It So Good
Frank Sinatra;You Turned My World Around
Frank Sinatra;You Will Be My Music
Frank Sinatra;You'd Be So Easy To Love
Frank Sinatra;You'd Be So Nice To Come Home To
Frank Sinatra;You'll Never Walk Alone
Frank Sinatra;You're A Lucky Fellow, Mr. Smith
Frank Sinatra;You're Driving Me Crazy!
Frank Sinatra;You're Getting To Be A Habit With Me
Frank Sinatra;You're Gonna Hear From Me
Frank Sinatra;You're Nobody 'Til Somebody Loves You
Frank Sinatra;You're So Right (For What's Wrong In My Life)
Frank Sinatra;You, My Love
Frank Sinatra;Young At Heart
Frank Sinatra;Younger Than Springtime
Frank Sinatra;Zing! Went The Strings Of My Heart
